City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,prymors'k,46.7348,36.3443,20.63,54,96,3.92,UA,1694500304
311,paducah,37.0834,-88.6001,20.07,97,0,0.0,US,1694500305
312,wajir,1.7471,40.0573,28.98,54,20,3.6,KE,1694500305
313,ebon,4.582,168.6964,28.79,68,47,1.34,MH,1694500305
314,acarau,-2.8856,-40.12,24.98,81,4,6.63,BR,1694500306
315,plymouth,41.8334,-70.8328,21.57,89,100,0.0,US,1694500306
316,klamath falls,42.2249,-121.7817,15.95,63,0,0.0,US,1694500307
317,otjimbingwe,-22.35,16.1333,14.02,18,0,5.78,NA,1694500307
318,astrakhan,46.3497,48.0408,17.93,55,40,2.0,RU,1694500308
319,nyurba,63.2842,118.3319,8.25,87,100,1.28,RU,1694500308
320,fale old settlement,-9.3852,-171.2468,28.48,75,100,6.29,TK,1694500308
321,winnemucca,40.973,-117.7357,16.03,55,0,2.57,US,1694500309
322,tralee,52.2704,-9.7026,10.1,88,16,1.66,IE,1694500309
323,uturoa,-16.7333,-151.4333,24.32,85,98,11.45,PF,1694500310
324,christchurch,-43.5333,172.6333,13.11,41,3,5.14,NZ,1694499489
325,plettenberg bay,-34.0527,23.3716,11.96,52,8,2.87,ZA,1694500310
326,adrar,20.5022,-10.0711,31.79,29,84,3.52,MR,1694500311
327,fisterra,42.9049,-9.2629,15.42,84,9,1.51,ES,1694500311
328,kouango,4.9934,19.9619,24.64,90,99,1.64,CF,1694500312
329,sena madureira,-9.0656,-68.6569,22.99,83,87,0.97,BR,1694500312
330,baoshan,46.5586,131.4244,17.58,50,11,4.03,CN,1694500312
331,bamboo flat,11.7,92.7167,29.05,79,75,7.2,IN,1694500313
332,campina verde,-19.5356,-49.4864,21.88,34,0,2.75,BR,1694500314
333,nar'yan-mar,67.6713,53.087,15.91,74,91,6.65,RU,1694500314
334,lycksele,64.5954,18.6735,13.93,94,100,0.0,SE,1694500315
335,kidal,18.4411,1.4078,33.97,24,22,3.25,ML,1694500315
336,keflavik,64.0049,-22.5624,4.24,75,20,3.6,IS,1694500316
337,santander,43.4647,-3.8044,19.61,97,75,3.09,ES,1694500316
338,abepura,-2.6333,140.5833,33.45,52,20,3.09,ID,1694500316
339,presidente medici,-11.1753,-61.9014,27.01,59,34,1.28,BR,1694500317
340,saint-joseph,-21.3667,55.6167,26.17,67,2,3.57,RE,1694500317
341,mohr,54.3528,9.7167,19.08,95,75,2.06,DE,1694500318
342,luena,-11.7833,19.9167,19.1,82,0,2.06,AO,1694500318
343,ghanzi,-21.5667,21.7833,9.91,26,0,8.16,BW,1694500319
344,nakhon thai,17.1006,100.8374,25.5,95,100,1.73,TH,1694500319
345,vorgashor,67.5833,63.95,13.12,50,81,1.95,RU,1694500320
346,chernyshevskiy,63.0128,112.4714,9.8,59,100,1.8,RU,1694500320
347,srikakulam,18.3,83.9,28.52,79,100,1.18,IN,1694500320
348,estremoz,38.8443,-7.5859,14.22,90,0,1.7,PT,1694500086
349,leskovac,42.9981,21.9461,14.77,35,5,0.4,RS,1694500321
350,ciudad lazaro cardenas,17.9583,-102.2,25.74,87,9,1.34,MX,1694500322
351,purna,19.1833,77.05,29.94,60,60,6.49,IN,1694500228
352,badulla,6.9895,81.0557,27.68,56,100,0.78,LK,1694500322
353,kuybyshevo,47.8123,38.9073,17.19,48,100,2.9,RU,1694500323
354,vakfikebir,41.0458,39.2764,20.93,55,2,3.89,TR,1694500323
355,hadibu,12.65,54.0333,29.1,69,29,10.29,YE,1694500324
356,blair,41.5444,-96.125,15.47,73,0,0.0,US,1694500324
357,sovetskaya gavan',48.9723,140.2878,20.82,79,93,4.71,RU,1694500325
358,shenjiamen,29.9576,122.298,26.77,72,100,4.36,CN,1694500325
359,copala,16.65,-98.9833,25.69,85,47,1.17,MX,1694500325
360,ganye,8.4333,12.0667,23.16,83,100,0.78,NG,1694500326
